Re,aoa,cl,cd,cm
396209.3279,24,0.323486306,0.595150462,0.268188309
396209.3279,26,0.366679503,0.621534102,0.289198674
396209.3279,28,0.410524492,0.651623944,0.311705211
396209.3279,30,0.455108136,0.678826229,0.333910343
396209.3279,35,0.571849295,0.734620291,0.389266415
396209.3279,40,0.692942902,0.765708301,0.441680095
396209.3279,45,0.814657623,0.773076325,0.490162698
396209.3279,50,0.932054079,0.759745251,0.536629152
396209.3279,55,1.043491295,0.726671799,0.580352959
396209.3279,60,1.147844196,0.678821941,0.623012849
396209.3279,65,1.23959283,0.613323679,0.66157952
396209.3279,70,1.310645186,0.530513948,0.692629299
396209.3279,75,1.363644951,0.435472418,0.718282684
396209.3279,80,1.402250151,0.332268899,0.739816066
396209.3279,85,1.417495493,0.225455976,0.75555543
396209.3279,90,1.416382437,0.115855385,0.766482453
792418.6558,-90,1.350595388,-0.122450679,-0.731352346
792418.6558,-85,1.352208039,-0.224214483,-0.717223237
792418.6558,-80,1.333882196,-0.323943729,-0.697306198
792418.6558,-75,1.292196166,-0.416708165,-0.668908764
792418.6558,-70,1.233302913,-0.500571817,-0.635922773
792418.6558,-65,1.157314537,-0.57304826,-0.597583636
792418.6558,-60,1.069106295,-0.630909078,-0.55586539
792418.6558,-55,0.974624246,-0.675588674,-0.512955414
792418.6558,-50,0.864248507,-0.699921559,-0.464099539
792418.6558,-45,0.746548065,-0.697885861,-0.410091783
792418.6558,-40,0.62983863,-0.675411709,-0.353962849
792418.6558,-35,0.513269385,-0.631352855,-0.296223615
792418.6558,-30,0.403027763,-0.562556486,-0.236062446
792418.6558,-28,0.361557858,-0.53060159,-0.21228795
792418.6558,-26,0.322400464,-0.498454724,-0.18958346
792418.6558,-24,0.286254532,-0.469186219,-0.169014365
792418.6558,-22,0.251408766,-0.440682342,-0.149258699
792418.6558,-20,0.215902108,-0.415683505,-0.12999291
792418.6558,-18,0.172464586,-0.419814738,-0.11339972
792418.6558,-16,0.116847592,-0.502541976,-0.109978314
792418.6558,-14,0.087727931,-0.509853123,-0.102932547
792418.6558,-12,0.068319249,-0.473742319,-0.091096422
792418.6558,-10,0.053301912,-0.421790026,-0.077871108
792418.6558,-8,0.041806497,-0.351804827,-0.061472131
792418.6558,-6,0.028208956,-0.336134349,-0.060094176
792418.6558,-4,0.016730588,-0.289221742,-0.04691245
792418.6558,-2,0.013541373,-0.096175104,0.005983749
792418.6558,0,0.012728823,0.121154277,0.065506987
792418.6558,2,0.01323635,0.338609849,0.124051428
792418.6558,4,0.015198733,0.545720253,0.17823894
792418.6558,6,0.01923352,0.728590244,0.223488045
792418.6558,8,0.025849896,0.857278444,0.250404623
792418.6558,10,0.041954267,0.855162194,0.243514711
792418.6558,12,0.063932714,0.823579592,0.234960127
792418.6558,14,0.089008024,0.809156998,0.234888454
792418.6558,16,0.127917473,0.740242265,0.23201211
792418.6558,18,0.190931207,0.61767715,0.230228628
792418.6558,20,0.241643146,0.571477526,0.23764189
792418.6558,22,0.280585638,0.585791149,0.253892436
792418.6558,24,0.323148035,0.603596439,0.271935929
792418.6558,26,0.367058656,0.627592004,0.292415272
792418.6558,28,0.409789397,0.656840413,0.314372349
792418.6558,30,0.455829932,0.682463129,0.336488141
792418.6558,35,0.572050656,0.737388316,0.39118743
792418.6558,40,0.692082866,0.77089225,0.444005499
792418.6558,45,0.808878289,0.775299058,0.491283179
792418.6558,50,0.92743369,0.762254319,0.538113109
792418.6558,55,1.04177691,0.729667198,0.582412054
792418.6558,60,1.146278134,0.681305147,0.624494821
792418.6558,65,1.236958553,0.615323929,0.662584112
792418.6558,70,1.307716005,0.532165284,0.693153725
792418.6558,75,1.362157425,0.436922532,0.718713148
792418.6558,80,1.400053049,0.334925298,0.740643064
792418.6558,85,1.415686452,0.228158589,0.756406321
792418.6558,90,1.412712151,0.118528683,0.766678117
1584837.312,-90,1.340518749,-0.130125921,-0.730568125
1584837.312,-85,1.34473269,-0.229695929,-0.716965701
1584837.312,-80,1.336135692,-0.321618473,-0.695591178
1584837.312,-75,1.289160832,-0.419610783,-0.669410294
1584837.312,-70,1.23087379,-0.503252263,-0.636537534
1584837.312,-65,1.155472022,-0.57500557,-0.598255895
1584837.312,-60,1.068065457,-0.633063982,-0.556748224
1584837.312,-55,0.973448736,-0.676990914,-0.513811066
1584837.312,-50,0.865106855,-0.69907113,-0.464716779
1584837.312,-45,0.749139647,-0.698140112,-0.411089066
1584837.312,-40,0.630339991,-0.677464247,-0.355188311
1584837.312,-35,0.51374561,-0.6318631,-0.297021236
1584837.312,-30,0.403485444,-0.56095734,-0.236228733
1584837.312,-28,0.362129361,-0.529656429,-0.212536412
1584837.312,-26,0.323764574,-0.499073852,-0.190581891
1584837.312,-24,0.286809547,-0.470003851,-0.169701724
1584837.312,-22,0.252030993,-0.441499213,-0.150154497
1584837.312,-20,0.213596292,-0.42326985,-0.131911663
1584837.312,-18,0.156431181,-0.472847032,-0.120131467
1584837.312,-16,0.11322272,-0.516405152,-0.11321714
1584837.312,-14,0.086726011,-0.516848181,-0.105277312
1584837.312,-12,0.067697297,-0.477469253,-0.092950454
1584837.312,-10,0.052897453,-0.419676203,-0.07825323
1584837.312,-8,0.04161252,-0.347520644,-0.061266213
1584837.312,-6,0.027814139,-0.330367715,-0.05922061
