,t (s),Torsion 2nd derivative (deg/s^2)
4028,0.8057611522304461,-722.9411193427843
4029,0.8059611922384476,-733.5602769270976
4030,0.8061612322464493,-742.6641106107064
4031,0.8063612722544509,-750.9757383422334
4032,0.8065613122624525,-758.1604158268547
4033,0.8067613522704541,-763.8611639949046
4034,0.8069613922784556,-767.9202658274538
4035,0.8071614322864573,-771.0694406172511
4036,0.8073614722944589,-773.3164652527614
4037,0.8075615123024605,-773.8523176807835
4038,0.8077615523104621,-773.288485968801
4039,0.8079615923184637,-771.8458199870756
4040,0.8081616323264653,-768.6409583438685
4041,0.8083616723344669,-764.1544060625084
4042,0.8085617123424685,-758.7899257410257
4043,0.8087617523504701,-751.8106248349866
4044,0.8089617923584717,-744.1881100964349
4045,0.8091618323664733,-734.9064105957791
4046,0.8093618723744749,-724.3532765993243
4047,0.8095619123824765,-713.0393892908921
4048,0.8097619523904781,-700.6055766081591
4049,0.8099619923984797,-686.8601361365123
4050,0.8101620324064813,-671.8881305049454
4051,0.8103620724144829,-655.8511658644118
4052,0.8105621124224845,-638.7156841813336
4053,0.8107621524304861,-621.0095888726408
4054,0.8109621924384877,-601.9017838907175
4055,0.8111622324464893,-582.0830890932955
4056,0.8113622724544909,-561.2094252525856
4057,0.8115623124624926,-539.5103106633095
4058,0.8117623524704941,-516.660822566228
4059,0.8119623924784957,-492.9432103750454
4060,0.8121624324864973,-469.4340474379295
4061,0.8123624724944989,-444.3180590364824
4062,0.8125625125025006,-418.48905545919274
4063,0.8127625525105021,-392.6550772524405
4064,0.8129625925185037,-365.5115519774803
4065,0.8131626325265053,-337.8561584616115
4066,0.8133626725345069,-309.952906446021
4067,0.8135627125425086,-281.6411455368835
4068,0.8137627525505101,-252.95533379660756
4069,0.8139627925585117,-223.52882864367217
4070,0.8141628325665133,-193.9556006863078
4071,0.8143628725745149,-164.01679422526215
4072,0.8145629125825165,-134.4932019225538
4073,0.8147629525905181,-104.02520449336977
4074,0.8149629925985197,-73.58047634959439
4075,0.8151630326065213,-42.82415925644311
4076,0.8153630726145229,-12.434369367130058
4077,0.8155631126225245,17.969087981236306
4078,0.8157631526305261,48.24997487770532
4079,0.8159631926385277,78.46765858106619
4080,0.8161632326465293,108.39921238965059
4081,0.8163632726545309,138.15924244471006
4082,0.8165633126625325,167.6074229788957
4083,0.8167633526705341,196.39519162567058
4084,0.8169633926785357,225.45415272607568
4085,0.8171634326865373,253.89152592940792
4086,0.8173634726945389,281.66699215503843
4087,0.8175635127025405,309.0590158997537
4088,0.8177635527105421,335.8543973127935
4089,0.8179635927185437,362.53075626694744
4090,0.8181636327265454,387.9174587374461
4091,0.8183636727345469,413.1254627459816
4092,0.8185637127425485,437.6256355590682
4093,0.8187637527505501,461.2313849500071
4094,0.8189637927585517,484.1270778436495
4095,0.8191638327665534,506.26894093958066
4096,0.8193638727745549,527.6033588118468
4097,0.8195639127825565,547.7532493009758
4098,0.8197639527905581,567.4357625139279
4099,0.8199639927985597,585.5312028986563
4100,0.8201640328065614,603.2277444395964
4101,0.8203640728145629,619.903588510478
4102,0.8205641128225645,635.2965882619112
4103,0.8207641528305661,650.0550818358795
4104,0.8209641928385677,663.2661935328172
4105,0.8211642328465694,675.754766198268
4106,0.8213642728545709,686.9668150136606
4107,0.8215643128625725,697.1607703064631
4108,0.8217643528705741,705.8279551813746
4109,0.8219643928785757,713.8053083566598
4110,0.8221644328865774,720.2234965309195
4111,0.8223644728945789,725.8998266007842
4112,0.8225645129025805,730.2959034891496
4113,0.8227645529105821,733.7051113830729
4114,0.8229645929185837,735.4178917152315
4115,0.8231646329265854,736.1403653177539
4116,0.8233646729345869,735.8067714077741
4117,0.8235647129425885,734.5209128188365
4118,0.8237647529505902,731.164933407924
4119,0.8239647929585917,727.4275478226016
4120,0.8241648329665934,722.580218300107
4121,0.8243648729745949,716.1535924858174
4122,0.8245649129825965,708.6864358024809
4123,0.8247649529905982,700.2668462676314
4124,0.8249649929985997,690.4327460027412
4125,0.8251650330066013,679.5468751992521
4126,0.8253650730146029,667.9198031398122
4127,0.8255651130226045,655.1107788647029
4128,0.8257651530306062,641.3633279219932
4129,0.8259651930386077,626.286469943094
4130,0.8261652330466093,610.4393828917805
4131,0.8263652730546109,593.3442091377472
4132,0.8265653130626125,575.5376072402752
4133,0.8267653530706142,557.2208726299167
4134,0.8269653930786157,537.2738525648335
4135,0.8271654330866173,516.9209999469599
4136,0.8273654730946189,495.4549018651617
4137,0.8275655131026205,473.40293628373536
4138,0.8277655531106222,450.5831505701859
4139,0.8279655931186237,427.5618770300696
4140,0.8281656331266253,403.51397688105317
4141,0.828365673134627,378.7465298327716
4142,0.8285657131426285,353.24540653670977
4143,0.8287657531506302,327.70283318650814
4144,0.8289657931586317,301.4221119735561
4145,0.8291658331666333,274.655304718157
4146,0.829365873174635,247.68324490006518
4147,0.8295659131826365,220.16757847671525
4148,0.8297659531906382,192.47670673516419
4149,0.8299659931986397,164.09911063206167
4150,0.8301660332066413,135.94998078940682
